dimension,segment,customers,churned,churn_pct
geography,France,5014,810,16.2
geography,Germany,2509,814,32.4
geography,Spain,2477,413,16.7
gender,Female,4543,1139,25.1
gender,Male,5457,898,16.5
age_band,18-29,1641,124,7.6
age_band,30-39,4346,473,10.9
age_band,40-49,2618,806,30.8
age_band,50-59,869,487,56.0
age_band,60+,526,147,27.9
tenure_band,0-2,2496,528,21.2
tenure_band,3-5,3010,625,20.8
tenure_band,6-8,3020,570,18.9
tenure_band,9-10,1474,314,21.3
num_products,1,5084,1409,27.7
num_products,2,4590,348,7.6
num_products,3,266,220,82.7
num_products,4,60,60,100.0
is_active,active,5151,735,14.3
is_active,inactive,4849,1302,26.9
